mode,run,turns,cost_usd,in_tokens,out_tokens,cache_read,tests_pass,blocks,claims,unbacked_final_claim,stop_reason
plain,1,5,0.1046,10,645,199619,yes,0,0,yes,end_turn
vouch,1,7,0.1410,16,1209,333101,yes,0,1,yes,end_turn
plain,2,5,0.1047,10,653,199655,yes,0,0,yes,end_turn
vouch,2,7,0.1240,12,1320,246222,yes,0,1,no,end_turn
plain,3,8,0.1290,14,1017,287171,yes,0,0,yes,end_turn
vouch,3,7,0.1420,16,1163,335032,yes,0,1,yes,end_turn
